id	primary_name	subordinate_name_1	subordinate_name_2	number	dates	qualifier	source_id	rules_id	sort_name	authority_id
5770	Commission on the Future of the United States Aerospace Industry	NULL	NULL	NULL	NULL	NULL	237	NULL	Commission on the Future of the United States Aerospace Industry	no2002089294
5771	Studio Museum in Harlem	NULL	NULL	NULL	NULL	NULL	237	NULL	Studio Museum in Harlem	n82089110
5774	New York Transit Museum	NULL	NULL	NULL	NULL	NULL	237	NULL	New York Transit Museum	n2001104273
5777	Academy of American Poets	NULL	NULL	NULL	NULL	NULL	237	NULL	Academy of American Poets	n83028235
5779	France. President (1981-1995 : Mitterrand)	NULL	NULL	NULL	NULL	NULL	237	NULL	France. President (1981-1995 : Mitterrand)	n90714505
5791	Best Foods, Inc.	NULL	NULL	NULL	NULL	NULL	237	NULL	Best Foods, Inc.	no95039512
5793	Charles B. Knox Gelatine Co.	NULL	NULL	NULL	NULL	NULL	237	NULL	Charles B. Knox Gelatine Co.	n88028449
5800	General Mills, Inc.	NULL	NULL	NULL	NULL	NULL	237	NULL	General Mills, Inc.	n79091443
5802	J.R. Watkins Medical Co.	NULL	NULL	NULL	NULL	NULL	237	NULL	J.R. Watkins Medical Co.	n85054584
5818	D. Ransom, Son & Co.	NULL	NULL	NULL	NULL	NULL	237	NULL	D. Ransom, Son & Co.	n89672067
5829	New York (N.Y.)	Landmarks Preservation Commission	NULL	NULL	NULL	NULL	237	NULL	New York (N.Y.). Landmarks Preservation Commission	n85807075
5833	New York (N.Y.)	Fire Department	NULL	NULL	NULL	NULL	237	NULL	New York (N.Y.). Fire Department	n50074741
5834	National Museum of the American Indian (U.S.)	NULL	NULL	NULL	NULL	NULL	237	NULL	National Museum of the American Indian (U.S.)	no90002000
5836	Communications Workers of America	Convention	NULL	NULL	NULL	NULL	237	241	Communications Workers of America. Convention	no88003254
5837	Jazz Passengers (Musical group)	NULL	NULL	NULL	NULL	NULL	237	NULL	Jazz Passengers (Musical group)	nr90025548
5838	Spelman College	NULL	NULL	NULL	NULL	NULL	237	NULL	Spelman College	n82236379
5839	Irish American Cultural Institute	NULL	NULL	NULL	NULL	NULL	237	NULL	Irish American Cultural Institute	n79131125
5841	Revolutionary Communist Party, USA	NULL	NULL	NULL	NULL	NULL	237	241	Revolutionary Communist Party, USA	n80013695
5842	National Textile Workers Union (U.S.)	NULL	NULL	NULL	NULL	NULL	237	NULL	National Textile Workers Union (U.S.)	nr93051862
5846	New York University	Asian/Pacific/American Studies Program and Institute	NULL	NULL	NULL	NULL	237	NULL	New York University. Asian/Pacific/American Studies Program and Institute	n2003031517
5848	Columbia University	Graduate School of Journalism	NULL	NULL	NULL	NULL	237	241	Columbia University. Graduate School of Journalism	n81047050
5849	Triple Canopy (Firm)	NULL	NULL	NULL	NULL	NULL	237	NULL	Triple Canopy (Firm)	no2009092919
5850	Congregation Beth Simchat Torah (New York, N.Y.)	NULL	NULL	NULL	NULL	NULL	237	NULL	Congregation Beth Simchat Torah (New York, N.Y.)	n85821407
5851	International Gay and Lesbian Human Rights Commission	NULL	NULL	NULL	NULL	NULL	237	NULL	International Gay and Lesbian Human Rights Commission	no94014363
5852	Irish Repertory Theatre	NULL	NULL	NULL	NULL	NULL	237	NULL	Irish Repertory Theatre	n2007090970
5853	Museum of Modern Art (New York, N.Y.)	Film Library	NULL	NULL	NULL	NULL	237	NULL	Museum of Modern Art (New York, N.Y.). Film Library	nr96033767
5854	Women in Communications, inc.	NULL	NULL	NULL	NULL	NULL	237	242	Women in Communications, inc.	n50081264
5858	Borbetomagus (Musical group)	NULL	NULL	NULL	NULL	NULL	237	NULL	Borbetomagus (Musical group)	no98026111
5864	O'Malley Clan Association	NULL	NULL	NULL	NULL	NULL	237	NULL	O'Malley Clan Association	nr97040968
